CPUID:,0x870F10
Processor:,AMD Ryzen 5 3600 6-Core (Matisse) 
Platform:,Socket AM4 (1331 pin)
Revision:,MTS-B0
Lithography:,7nm

Session start:,11:57:11 - May 18 - 2022

Time,Core 0 Temp. (°),Core 1 Temp. (°),Core 2 Temp. (°),Core 3 Temp. (°),Core 4 Temp. (°),Core 5 Temp. (°),,Core 0,Low temp. (°),High temp. (°),Core load (%),Core speed (MHz),Core 1,Low temp. (°),High temp. (°),Core load (%),Core speed (MHz),Core 2,Low temp. (°),High temp. (°),Core load (%),Core speed (MHz),Core 3,Low temp. (°),High temp. (°),Core load (%),Core speed (MHz),Core 4,Low temp. (°),High temp. (°),Core load (%),Core speed (MHz),Core 5,Low temp. (°),High temp. (°),Core load (%),Core speed (MHz),CPU 0 Power,
11:57:16 05/18/22,73,73,73,73,73,73,,,67,75,1,4066.41,,67,75,1,4066.41,,67,75,1,4066.41,,67,75,0,4066.41,,67,75,0,4066.41,,67,75,49,4066.41,34.1,
11:57:21 05/18/22,73,73,73,73,73,73,,,67,75,0,4066.41,,67,75,3,4066.41,,67,75,0,4066.41,,67,75,0,4066.41,,67,75,0,4066.41,,67,75,48,4066.41,35.1,
11:57:26 05/18/22,73,73,73,73,73,73,,,67,75,13,4066.41,,67,75,3,4066.41,,67,75,3,4066.41,,67,75,1,3592.41,,67,75,3,3592.41,,67,75,51,3592.41,37.7,
11:57:31 05/18/22,74,74,74,74,74,74,,,67,75,1,4066.41,,67,75,0,4066.41,,67,75,1,4066.41,,67,75,1,4066.41,,67,75,0,4066.41,,67,75,49,4066.41,33.5,
11:57:36 05/18/22,74,74,74,74,74,74,,,67,75,1,4066.41,,67,75,1,4066.41,,67,75,0,4066.41,,67,75,0,4066.41,,67,75,0,4066.41,,67,75,51,4066.41,33.6,
11:57:41 05/18/22,74,74,74,74,74,74,,,67,75,2,2843.99,,67,75,1,2843.99,,67,75,0,2843.99,,67,75,0,2843.99,,67,75,0,2843.99,,67,75,45,2843.99,33.6,
11:57:46 05/18/22,66,66,66,66,66,66,,,66,75,4,2195.36,,66,75,2,2195.36,,66,75,1,2195.36,,66,75,1,2195.36,,66,75,1,2195.36,,66,75,0,2195.36,17.1,
11:57:51 05/18/22,59,59,59,59,59,59,,,59,75,0,2195.36,,59,75,0,2195.36,,59,75,0,2195.36,,59,75,0,2195.36,,59,75,0,2195.36,,59,75,1,2195.36,17.0,
11:57:56 05/18/22,51,51,51,51,51,51,,,51,75,0,2195.36,,51,75,2,2195.36,,51,75,1,2195.36,,51,75,0,2195.36,,51,75,0,2195.36,,51,75,1,2195.36,16.7,
11:58:01 05/18/22,51,51,51,51,51,51,,,51,75,2,2195.36,,51,75,1,2195.36,,51,75,1,2195.36,,51,75,0,2195.36,,51,75,1,2195.36,,51,75,1,2195.36,16.7,
11:58:06 05/18/22,50,50,50,50,50,50,,,50,75,1,2195.36,,50,75,1,2195.36,,50,75,0,2195.36,,50,75,0,2195.36,,50,75,0,2195.36,,50,75,1,2195.36,16.9,
11:58:11 05/18/22,55,55,55,55,55,55,,,50,75,0,2195.36,,50,75,0,2195.36,,50,75,0,2195.36,,50,75,0,2195.36,,50,75,0,2195.36,,50,75,1,2195.36,17.2,
11:58:16 05/18/22,57,57,57,57,57,57,,,50,75,1,2195.36,,50,75,1,2195.36,,50,75,0,2195.36,,50,75,1,2195.36,,50,75,1,2195.36,,50,75,0,2195.36,16.8,
11:58:21 05/18/22,60,60,60,60,60,60,,,50,75,1,4166.20,,50,75,3,4166.20,,50,75,0,4191.15,,50,75,0,4191.15,,50,75,0,4191.15,,50,75,1,4191.15,17.0,
11:58:26 05/18/22,52,52,52,52,52,52,,,50,75,0,2195.36,,50,75,0,2195.36,,50,75,0,2195.36,,50,75,0,2195.36,,50,75,0,2195.36,,50,75,1,2195.36,16.6,
